Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
,,,,,
,,,0.5,,
,,,,,
,4.1,,,,21.4
,,,0,,33
,,,,,
,7,,22,,
,,,0.3,,0
,,,,,
68,6.5,100,3.5,56.6,25
,,,,,
31.6,7.9,100,11.4,,25
,,,,,
42.7,3.8,,,,8.7
27,5.2,100,15,50.4,0
,,,1.3,,70
95,5,100,10,50,100
,,,,,
,7.7,,19.3,70.5,23.3
,,,,,
42,13,,,80.6,
47.6,13.5,100,20.6,,36.4
,,,,,
52,,100,,,50
44.9,,56.7,4.5,,55.5
50,5,100,9,70,0
14.3,14.4,100,12.4,,2.4
6.5,18.6,100,23.8,73,7.7
69,10.5,,5,,76.5
50,,,7,,
,,,,,
,,,,,
,6.8,,12.5,,
24.4,11.2,100,6.8,62.1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,26,32.8,4
,,,,,
75,12.6,100,,,0
11.3,2.2,,,,
33.2,,100,22.1,,
,,,,,
,,,,,
32.6,10.8,100,6.9,86.7,16
,,,15.5,,13.5
31.9,5.3,67,12,,
32.7,13.6,,20.4,,22.3
21.4,7.2,,,,16.9
38.2,15.6,100,8.3,,11.7
43.1,4.8,100,21.6,,20.5
49.9,10.4,,,,14.5
14.4,11,,18.6,,5.8
49.2,,,1.7,,41.7
,,,23,,14
28,5.4,90.5,11.8,56.1,24.2
28.9,5.9,100,12.4,,11.5
10,9.4,100,11.5,40.3,4.9
,5.5,,20,,
7,5.1,,30.7,,10.3
58,8.5,,7.6,,5.6
29,18.7,100,10.5,29.8,15.7
49.3,14.2,100,5,57.6,20.2
33.6,7.2,90,20.3,72.8,30.7
27.5,7.7,,2.3,,53.3
27.1,12.8,100,20,17.5,12.5
,8.7,100,27.9,,5.7
59.9,8,100,8.6,84.9,50.6
35.3,11.1,100,13.7,46.7,11.7
21.3,23.5,100,14.4,,10.1
45.5,6.7,,4.6,65.1,17.6
35.1,7.2,100,10.4,58,18
42.6,17.2,100,4.2,66,29.5
,,,,,
45,9.8,,13.9,,20.4
28.1,6.9,100,36.5,62.4,5.5
11.1,,100,,,0
87.7,,100,2.9,71.4,
,,,,,71
,11,,,,
,,,,,
,,,,59,7.1
100,10.7,100,0.2,90,20
,,,,,
,,,,,
,,,,,
,,,22.7,,
,,,18,,0
,,,0,,17
,6.1,,,,17.3
,,,,95,44
24.8,1.5,,,,4.2
100,,,3,,0
83.3,,,,,
66,,,,70,50
15,,,,,
13.3,4.9,100,16.3,69.2,3.1
,,,,,
,6.5,,36.5,,
,,,,,
,10,,,,10
,,,,,
8.7,3,100,12,55,11
,,,,,
,,,,,
,,,,,
,,,24.1,,
39.9,12.1,200,11.9,32.6,20.6
,14,,,,
,,,3.5,,57.1
43,,,4.9,,
,,,17.4,,
,,,,,
,,,,,
25,1.9,0,8.4,,
40,,100,,,0
,,,,,
,,,20.3,31,4
72,,100,,,60
,,,,,
,,,,,
,8,,,,
,,,,,
,17.7,,2.8,,0
,,,,,
,,,,,
,,,,,
22.1,14,,11,74.9,3.9
,,,,,
,,,,68.9,
,,,,,
,,,,,
,,,,46,61
,,,,,
,,,,,
100,,100,,,65
75.4,,,,33.9,61.9
,,,,,
75,7.3,0,13.4,76.5,16.7
,10.4,,,,
,,,,,
,,,,,
,,,,,
24.7,13.2,100,24.1,54.4,4.1
,,,,,
,,,,,
,,,,,
,,,12.7,,
,19.6,,,,25
,,,,,
,,,,,45
,,,,,
0,,,,,
48,5.6,,8.9,58,
30.1,8.2,,,,3.1
,,,,,
,,,,,
0,,,,,
,,,,,
26,9.9,,,,
,,,8.7,,1
,,,,,
0,,,,70,12.5
,,,,,
,,,,,
,,,,,
5,22,,,74,5
,,,,,
50.9,10.1,,,,10
13,,100,,,
0,0,0,20,43,0
80,2,50,0,100,0
,,,,,
,,,13.6,,3.6
1.6,3.5,,,,8.7
,,,,,
40.3,7.9,100,9.1,52.9,16.7
,,,,,
,,,,,
82.2,,,13,,73.7
,,,,,
,,,,,
,,,,,
100,4,100,0,100,80
30,14,25,20,50.9,10
16.5,11.2,,,,
18.4,21.1,100,21.6,69,
1.9,6.1,,45,,0
,,,,,
5.6,14.1,,19.9,,3.1
13.6,11,,,,3.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,7.5,,,,7.7
,,,,,
30,12.6,100,17.2,52.1,12.2
,,,,,
,,,,,
87.7,10,100,0,25,69.2
,,,,,25
,,,,,
6,,,24.5,,0
,,,,,
,,,,,
,,,,,
44,12.3,100,17.3,74.5,11.7
,,,,,
,,,,,
,,,,,
,6,,,,33.3
,32.8,100,2.4,66.5,13
,,,5.2,,
,6.2,,,,24.4
32.4,16.1,,25,53.1,3.1
,8.7,,,,5
62.6,,,,,30.4
,,,,,
71,,100,,67.7,49
,,,,,
,,,,,
,,,,,
,,,,,
31.4,6,100,,48.8,0
34.4,14,100,,49,0
,,,,,
12.1,18.9,100,14.8,67.5,
,,,,,
,,,,,51
,,,,,
21.9,14,,,,5.3
,,,,,
,,,,,
0,11.6,,,45.9,1.8
,,,,,
15.8,16.5,,10.5,,3.7
63,11.6,,12.6,,0
,,,,,
90,13,100,7.6,57.5,61.1
,,,,,
,,,,,
,,,,,
,8,,17.4,,22
,,100,,,
,,,,,
,,,,,
25,,,9.5,,2
50,9.9,,,,27.4
72.7,8.1,200,,,27.8
,,,,,
,,,,,
,,,,,
80,10,,10,,33
7.6,,,,22.2,
,,,,,
,,,,,
,,,,,
,8,,5,,
,,,,,0
,,,10,,0
,,100,,,0
,,,,,
,,,,,
,,,,,
,,,,,
0,0,,3.9,,0
,,,47,,
53.2,3.2,,,,
,,,,,
,,,,,
100,10,100,17,53,0
10,20,0,0,20,50
,,,,55,
,,,,,
,,,2,,25
23.4,,100,6.2,72.6,7.7
5,17,0,26,63,0
0,0,0,20,30,0
,,,,,
,,80,,,
,9.1,,,,3.2
,,,,,
37,14,,,,
,,,,,21.1
,,,,,
,,,,,
,,,,,
,,,,,
,18.2,,,,
,,,,,
12.6,,100,,,1.9
,,,,,
,,,,,
,,,,,
66,,95,,,
,11,,,,
,,,,,
,,100,,,0
12,14,,15.6,39.1,1.7
7.5,18.3,100,,,
,,,,,
8.8,,100,9.1,,0.5
,,,,,
,,,,,
,,,,,
51,16.9,,11.8,54,2.1
,,,,,
33,2,0,10,30,0
,,,,,
68.2,5.5,100,3.8,,36
,,,,,
,,,,,
,,,,,15.8
31,,100,,,20
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,,40,0,0
28,6,,,50,18
,,,,,
,,,,,
,,,,,
,,,10,,0
16.3,19.4,,25,,10.8
,11.6,,,,15.3
25,12,,,37,
14,1,0,0,0,0
,9.1,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
50,7,,0,,33.3
,,,,,
,,100,,,
,,,,,
,,,4.5,,58
,6.1,,,,9
,,,5.9,,0
72.9,10.6,100,11.8,66.3,42
,7,,20.4,,13.5
,,,1.3,,
,,,,,58
,,,1.9,,
,,,11.3,,
,,,,,
,,,9.5,,100
79.3,6.1,,3.3,70.5,51.9
,,,,,
,,,,,
,12.4,,,,40
82.6,8.5,,5,,54.8
72.5,5.2,,0.9,,59.2
33.3,11.8,100,5,62,48.1
23,13.3,100,18,65,
,,,,,
17.9,19.3,100,1.5,74,7
,,,13.6,,22
71.6,8,90,30.5,,
,,,,,
,,,,,
,,,,,
,,,,,
80,5,10,1,80,100
,,,2.3,,47
100,9,,4,,100
53.8,16.2,,,,57.1
,0,,0,,0
,,,,,
,,,,,
,,96.7,,,58.5
53,8.1,100,138,62,29
,,,,,50
,,,,,0
,,,,,
,,,,,
,,,20,,100
,,,,,
66,,,,,
100,6,0,0,0,50
,,,,,
18,,,,51.3,
,,,,,
,4,,,,
55.6,12,,12,,22.5
20.9,11.5,100,30.6,58.9,6.8
,,,,,
,4,,,,3.6
14,16,,24.4,,0
,,,,,
28.6,2,100,30.5,0.6,20
30.4,,,,,
,,,,,
22.2,11.8,,,,
,,,,,
,,,,,
,,,15.6,,12.5
6.6,,,,,
,6,,,,0
,,,,,
11.9,17.3,100,20,69.5,2.4
15,13,,12,81.8,0
,0,,,,
0,0,0,0,0,0
,,,,,
11.1,11.3,,22.6,53.9,2.7
,,,,,
,,,,,
39.4,10.2,,18.5,,19
87.5,,,,,
33,3.7,,24.2,,14
76,,100,5.6,,25
,18,,,,
,,,,,
,,,,,
8.4,10.2,100,40.2,58,2.9
,,,,,
,,,,,
,,,,,
,,,,,
,,,23.3,,2.1
,,,,,
,,,,,
18.7,,,,,
37.8,,,,,
75.2,6.8,100,24.5,51.9,55.6
,,,,,
,0,,,,0
,,,,,
7.7,13.8,100,10,,0
15.7,9.8,100,,,2.3
15.7,6,100,16.8,31,0
,,,,50,
27.5,7.2,100,28.5,,5.9
100,14,0,0,100,100
40.3,,,30,,9.6
20.8,12,100,9.6,83,2.7
,,,,,
10.4,17.5,100,26,52.6,8
32.7,10.3,,15,54.1,
17.4,12.3,100,15.1,61,6.1
38.5,10,100,18.5,65,2.9
,,,,,
8.7,9.9,100,15.7,52.7,5.1
38.2,9.6,,,,3.4
44.1,,,,,33
,15.4,,,,14.3
15,,,,,0
,8.7,,30.9,,0
18.1,10.3,,23.5,,4.9
24.9,11.3,,27.3,,2.1
8.7,8.7,,23.1,,0
,,,,45.1,3
63,13,,,,42
,,,,,11
27.7,13.3,,,,19.1
79.4,6.9,,5,67.8,
,,,,,
31,10.9,100,17.1,48.4,9.2
29.5,19.2,100,18.7,34.7,13
,,,,,
12.5,13.6,,,,
,,,,,
,,,,,
,,,25,,
,,,,,
49,9.4,,7,64.6,
,,,,,
,13,,30,60,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7.8,12,,,,
32.8,10.4,100,16.5,61.6,2.6
,,,,,
,12.1,,9.9,,1.5
48,,,,,
,10.7,,33,26.8,27.2
3.5,,100,,,
100,,,,42.7,
100,,0,7.7,102.8,
,,,,,
25,,,2.8,58.2,25
19.4,7,100,13,42.3,4
,,,,,
,,,,,
,,,,,
,22.1,,,,15.8
15,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,6.4,,7.9,67.5,28.6
40,,,,,
,,,40,,0
,,,,,
,,,,,
,,,,,30
34.4,13.1,,,,13.3
,,,,,20
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20.8,12.3,,29.3,,8
,7.1,,,,0
,14.7,,12.7,59.9,0
,,,,,
25,12.2,,7.7,63.5,3.4
11.9,,,,,14.2
18.3,,100,,,
,,,,,
24,6,100,26.4,,0
,,100,,,
69.6,10.1,100,11.1,46.1,38.9
1.3,15.5,100,4.7,49.3,0
80,11.1,100,,54,44
,,,,,
26,12.9,,2.1,,9.1
,,,,,
6.2,,,,82.9,
15.7,8.4,100,25.7,,
,,,,,
,,,,,
,,,,,
,,0,,26.5,0
,,,,,
,,,,,
,,,10.6,,
,,,,,
,,,,,
51,10,100,2.7,,14
6.1,12.5,100,28.9,75.4,1.3
,,,,,
,,,,,
,,,,,
40,,,,,
,12.5,,,,
91,,,,,56
,,,,,
,,,,,
,,100,,,6.8
61,3,,5.2,,36.4
,1.8,,,,44
,,,,,
,,,,,
,,,,,
,14.5,,,,
,,,,,
,,100,2.7,,1.9
0,0,,20,10,0
10.6,,,,,
38.4,7,100,,,
11.1,13.6,,24,54.5,0
29.7,9.3,,,,14.3
,,,,,9
2.1,5.2,100,39.4,61.8,0
,9.5,,,,
6,,,,,
,,,,,25
,,,,,
17.3,,,,,3
30.9,10.7,100,19.3,71.5,4.9
50,13,100,12.6,65.8,19.2
,,,,,
,,,,,
,,,,,
,7.7,100,,,6.7
,,,,,
47.3,12.4,98.4,4.2,69.6,16.3
42.7,,100,,,11
50,24,100,,,27
10,,,,,
,,,,,
49,5.7,,,,
,,,,,
26.7,8.6,,,,22.2
,,,,,
,,,,,
,,,,,21
,,,,,
79.9,9.9,100,,,54.4
,,96,,48,47
,,,5.3,,12
,,,,,
,,,,,
,4,,,,93.3
,,100,,41.8,40
73.8,8.2,100,2.5,,41.7
70.7,9.9,100,4.5,,32.1
65.8,7.7,100,3.3,87,42.4
,,,,,
,,,,,
,6.4,,4.2,,35.4
,,98,,,
,,,,,
,,,,,56.4
,,,,,
72,8.1,,,,
,,,,,
,,,,,
,,,,,
,,83,,,
100,7,100,0,100,0
,,,0.4,,
,,,,,
72,,,,48,16
,3.8,,29.9,,62.5
,,,,,
66.7,4.2,,10,,32.6
,,,,,
,,,,,
64.8,6.5,,,,54.1
,9.9,,,,53.7
,,,,,
,12.5,,,,
99.9,,,,,
,4.8,,,68.5,48.3
,,,,,72.4
66.4,,,2.6,61.9,52
20.8,5.3,,12.1,,39.4
5,30,,3,10,45
65,,,2.3,,
,,,,60,
77.6,,100,,,66.7
91.8,9.7,100,,,62.5
63.2,11,100,,,37
75.5,9,100,5.7,69.6,45.8
68.6,6.4,100,,,52
67,6.4,100,3.3,65.9,57
,,,,65,
,,,,,
65,,,,75,
,5.8,,6.2,,
,,,,,
,,,,,61.8
,,,,,
,,,10,,
77.5,8.5,100,3,72.7,46.9
,,,,,37.5
,,,,81.2,
,,,,,
76.9,,,,,
,,,,63.1,34.4
,,,,,
,,,,,
,,,,,
,,,,,
,,100,,,
63.2,,,,69.4,50
,,,,,
,,,6,,11.5
,,,,,
79,,,,,
,,,,,
,,,,,62.5
72.4,,100,,72,82.3
,,,,,
,,100,2,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
86,8.6,100,,,
,,,,,
7,8.4,100,2,23,53
,,,,,50
71,7.9,100,6,,55
,,,,,
74,,,,46.5,72
62.9,6.6,,,,
,,,,,
56.7,6.6,100,5.4,55.5,33.3
,,,5.1,32,62
,,,,,
80,13,,16.6,46.8,66.7
,,,,,
65.2,5.6,98.9,1.7,34.8,40.9
,,,,,
,,100,,,60
,,,,,
,,,1.9,,69.6
,,,,,59
73.7,10.9,99,12.6,25,60
7,6.9,,5.6,,68.6
,,,,,
,,,,,
,,,,,
100,7.3,0,1.5,75.7,40
,,,,,
62,,,,,
,,,,,
,,,,,
,,,,,
,,,,50,
51.3,,,,59.2,
,7.1,100,,83.8,31
,,,,,83
,,,,,
,,,,,
66.1,5.1,100,,,39
,,,,,
,4.4,,,,35.8
0,9.9,,1.9,,71
,,,,,
,,,,,
69.1,9.3,91,6,60.8,51
,4.2,,3.6,,36.8
,7.5,71,1.2,76,
,,99,,,73
,,,4.2,,33
72,,100,,,
,10.7,,,,61.5
,,,,,
,,,8.4,,25.9
,,,,,
,16.2,,5,,50
,,,,,38
,,,,,
,7.1,100,,,55
,12.1,,4,,44.4
60,7,100,5,100,14
,,,,,
,4.2,,5,,50
100,12,100,0,20,50
,,,,,
,,,,,42.9
78.5,,99.1,,,65.7
100,,,,,
,,,,,
,10.5,,,,72
,,,,,
77.4,,,,41.5,
70,1,,4.8,,57
68,6.7,100,,68.2,41.7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,72.6,43.9
70,2.5,,,,53
66,,,,,50
,,,,,
,9.6,,,,33
,4,,,,27.8
64.8,,,,63.7,39.6
,,100,,61.9,49.6
,5.3,,5.9,,47
85,11,100,4,21,87
,,,,,
78,12,,,100,
,,100,,,
,7.3,100,,,
,,,,,
,,100,,,60
,,,,,
77,,,,,0.4
,,,,,
,,,6.6,,63
,,,20,,
,7.1,,4.3,,44.5
69.8,7,100,,,31
,,,,,
,,,,,
97,,100,,86,66
,,,,,
57.2,9,100,1.2,48.1,37.5
,,,0.5,,73
,,,,,
,,,,,
67,,100,,,
82.9,8.1,,1,,62.7
100,7,20,1,100,10
,,,,,
,7.4,100,,,10
75,15,100,,,57
67.8,7.5,100,4.9,70.4,37.9
,9.5,,,,43.6
,4.1,,,,45
,,,,,
,,,,,
20,,,6,,63
86,14,100,,,84
,,,,,
,,,,,
69.1,11,100,2.7,43.8,48.1
96.8,9.2,91,,,52.2
84.8,8.2,,,,33.3
,10,,,,60.7
,,,,,
,,,,43,
,,,,,47.8
,,,,,
0,,,3.4,66.2,
,,,,,
41.2,6.1,100,3.5,69.7,45
70,6.3,100,4.5,75,53
,,,,,62
,,,,,
53,12.4,92,1.3,55.8,78
70,7.6,100,5,88,80
66.9,8.1,100,5.8,99.4,58.3
,27.1,,,,
81.3,,100,,68.7,
,,,,,
,,,,,
78,7.5,,,73.4,42.9
,,,10.2,,62.5
,,,,,
,7,,32,,50
,,,,,
73,15,100,15,100,50
,6.7,,,,27
,,,,49.1,66.6
,,,,,
7.7,17,0,4.2,,52.4
,,,,,
,9.1,,,,
70.3,,100,,,50.9
,,,,,
,5.8,,,,
64,,,,62.5,50
,6,,,,
,,,2.7,,33
,,,6.8,,
,,,,,
,,,,,
,5.3,,6,,44
,,,,,
,,,,,
13.3,6.5,,2.9,13.8,43.6
65,,100,,,65
78.7,10.5,100,1.8,51.6,41.1
,,,,,
,,0,,,
75,8,100,,,48.5
,,,,,
76,,,4.4,,
72.9,5,100,7.6,77,31.8
,4.2,,,,47.3
,,,8.6,,28.1
,,,,35.4,37.5
97.5,13.4,100,2.5,73.6,57.1
,,,,,
77,8,100,5.3,62.3,50
82.4,11.8,,0.8,,32
,9.8,,,,
,,,,77,
,,,,,
,,,,,
,4.6,,11.2,,44.8
100,8.8,0,2.1,42.4,48
,,,,,
,,,,,
85,9,100,,63.3,69.8
,,,,,
,,,,,
,8,,1.6,,55
,,,,,
,8.9,,4.1,,43.8
,5.6,,,,
,,,,,
,,100,,,53.7
,,,,,
,,,,,
,,,,,
,,,,,
64.3,,100,6.8,90.2,
80,6,100,5,70,20
,4.7,,,,
,,,,,
,,100,,60.5,63
,,,,,
,,,,,
100,,,,,
73.3,12,100,8.3,,46.3
78,11.3,100,1.6,61.2,41
67,10.2,91,3.2,,
,,,,,
82,8.7,100,3.5,82,48.3
,,,,,
60,3.2,100,7.8,51,50
,7,100,,,34
,,,,,
43.8,7.8,0,2.8,50,56.3
65.7,9,100,,,59
,,,,,
90,10,,,,43
77.3,7.2,,2,78,63.6
,12.4,,4,,
,,100,,,52
75.8,,100,,,31
36.2,,,,50.3,
,,,,,
,,,,,
,9.2,,3.1,,66.6
,,,13,,50
70.6,6.6,,,,
,,,,65,
,,,9,,51
,9,,3.5,,38.2
,,,,,
74,,100,2.5,70.3,46.3
,,,,,
66.9,11.7,100,5.8,71.4,46.2
,,,,,
,,,,,
,,,,,
,,,,,
54,11.6,100,0.4,67.7,
,,,,,
79.1,11,100,,91.1,26.7
,,,,,
,9,,,,33.3
,,,,,
77,,100,,,
70.7,8.7,,,,
76,,100,,,60
93.2,9,,,51.2,
,,,,,
,,,,50,10
,,100,,71,
,,,,,52.9
,,,,,
80.4,,,0.4,69.6,71.4
,,,,,
,,,,,
,,,,,
,,,,,25
,,100,,,58
,,,,,
,,,,61,
93,9.6,,,10.8,50
68.5,9.8,100,40,,46.7
65,,100,0.5,82.5,
,,,,,
,6,100,,72,65
75.3,9.9,,5,,60.5
,8,,,,38.1
75,,,0.3,,48
,,,,,
76.9,8.6,100,2.2,64.6,58.3
,,,,,
,8.3,,,,37.5
33,,100,,,56
96.2,10.5,100,5.8,48.4,31.6
,8.7,,,,67.9
66.2,8.6,,,,43.4
,,,,,
,,100,,,32
76.8,7.4,100,,,57.5
,,,,,
,,,,,
70,9.5,,,,37
,,,,63,52
64,,100,,,
,,,,,
,8.5,,0.5,,77
,,,3,,10
,,,,,
68.1,4.5,100,3.6,63.2,46.2
72.9,8.1,100,10.6,82,47.1
,,,,,
,,,,,
,3,,,,54.7
,,,,,
,,,,,
,,,,,
,,,,,
,,100,,,26.1
,,,,,
76.2,9.2,100,4.4,71.4,45
,,,,,
,,,,,
73,7,100,8,,81
,,,,,
,,100,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10.9,,10.9,,63.3
,,,,,
,,,5,,50
,,,1.1,,0
,,,1.8,,60.7
,,,,,
,,,,,
26.7,,,,,
71.7,,100,,76.2,71.1
,,,,,
,,,,,
,9.2,,,,
,,,,,52.3
,,,,,
,,,4,,50
75,6.8,,,,
,,,,,
27,,100,,,
83,,,,,
,,,,,
,2.1,,3.9,,48.7
,,,4.8,,63
,6.6,,,,44.4
25,15,0,8,0,66
,,,,,
,,,,,
72,9.6,,,,
67.1,0,,5.5,,43.4
77.5,,,,74.2,
,,,,,53
68,5.8,100,,,40
,15,,,,
,,,,,
,,,30,,0
,,,,,
,,,,,
,,,,,
73,,100,,,
45,16,,,,
22.2,17.2,,,,
17,,,,,
50,11.6,,17.7,,7
,,,,,
,,,,,
,,,,,
59,7.9,100,29,,23.2
,,,,,
8,,,,64.3,
74,,,3.1,,40
,,,,,
,18.8,,,,1.9
,,,,,
,,,,,
,,,,,
54.3,9.4,,18.1,,20.3
,,,,,
11.2,13.1,,,,2.5
,,100,,,
,7.8,,,,
,,,,,
36.9,11,100,15.8,52,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
13.6,7.7,,,,0
,,,,,
,10.8,100,10,64,16.6
8.5,8.2,100,,47.9,0.5
9.6,9,100,10.9,55.4,2
,,,,,
,,,,,
17.4,8.8,,,,
25.2,11.8,100,11.3,54.6,6.3
85.2,9.7,,,,8.3
,,,,,
,,,,,
19.9,,,24.7,,0
,3,,,,80
,,,0,,
,,,,,
,,100,,,25.9
,,,,,
,,,34.9,,5.9
93.2,7.9,100,3,65,86.3
36.1,13.5,88,6.2,50.8,13.8
,20,,,,
,13.3,,,,
,,,,,
,,,,,
37,,,,,
,15,,,,
,,,,,
,,,,,
,,,,,
,,,,,
32,,100,6.1,,
,,,,,
43.1,14.1,100,,,25
,,,,,
,,,,,
53.9,8.8,100,45.9,,0
,,,,,
,,,,,
,,,,,
,,,9,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
74,,0,,,
,,,,,
,,,,7.9,0
,,,,,
,,,,,
20.1,11.9,100,20.3,61,10.1
,,,,,
,,,,,
,,,,,
22.5,2.4,,,59.3,9.1
24,2.5,,,67,33.3
,,,,,
3,4,88.8,,6.8,0
32.8,3.7,100,25.4,,34
,,,,,
,,,30.9,,27.6
,5.4,,,,
,,,,,
,,,,,
,,,,,
25.9,8.2,,,,8.8
18.5,7.9,100,24.7,58.5,4.7
,,,,,
,6.4,100,40,73.9,0
18.9,7.5,100,14.9,58.7,4.4
,,,,,
,,,7.5,,25
,,,,,
,,,,,25
28.8,14.6,100,20.2,67,9
,,,,,
,9.4,100,13,55,
,,,29,,
0,0,,20,0,0
22.3,6.9,100,14,71.8,8.8
91.5,7.3,100,8.4,57,33.3
25.8,8.2,,,65.4,
46.5,13.3,100,13.2,67.4,9.5
62,7.9,100,14.5,59.2,22.2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
45.2,,,2,,50
,2.3,,,,
100,,,1.3,,
,,,,,
21.3,11.2,100,16,55.3,8.3
37.4,10.4,100,15.8,59.9,13.7
15,11.1,100,8.5,,16
48,,,,,55
27.3,13.1,100,6.6,62.8,11.1
19,11,100,12,62,6
38,4.2,100,30,,17
,17,,12,65,
43.8,5.4,100,13.9,71.8,22
10,5.5,,17.9,,0
21.9,12.5,98,10.9,83.7,11
14,11.2,100,,64,2
0,,,,,
,,,7,,
0,0,0,0,0,0
0,0,0,0,0,0
20.8,11.1,100,21.3,65,2.7
,,,,,
,,,,,25
32.6,9.3,,,,11.1
,,,18.8,,2.6
,,,,,
33.3,2.5,,23.5,,50
51,6.4,,,84.9,13
54.5,1.6,0,14.4,84.2,0
80,,,,,
,,,,,
,,,,62.3,
,,,,,
,,,,,
,,,,,
40,10.8,100,,71.6,22
,,,,,
,,,,,
,,,21.5,,
,10.8,100,,60.4,8.7
,,,,,
,,,,,
42,3.8,,,,17
,,,,,
,,,,,6.3
23.8,,100,15.4,72.7,
20,16.8,,13.2,75,2.8
,,,,,
3,17,,23,59.8,4.9
26,,,,,29
,,,,,29
38.5,10.4,100,20.8,63.4,14.3
17.7,,,7.7,,
,7,,,,0
18.9,6.5,,,,
,,,,,33.3
15,17,,,77,
86.6,4,100,,,36.2
,,,,,
,,,,,
42.2,9.8,,,,
,,,,,
16.7,3.8,,,,11.1
17.5,8.8,100,12.3,64.2,6.3
,,,,,
,,,,,
16,3.6,,,,
,,,,,
,,,,59.4,0
20,8.6,100,,,
0,,,,,
,,,,44,
,2.6,,,,37.5
44,1.4,0,3,70,0
58,4.8,,25,,27
,,,,,
,,,,,
20,4.8,,13.4,76,10
35.5,,,23.7,,12.8
96.5,8.1,,,,98
59.9,5,,17,,36.4
61.3,6.4,100,6.6,56.4,40.5
90.5,6,,8.6,60,58.6
,,,,69,35.5
14,,,,35,
,,,,,
,,,,,
100,,0,,,0
,,,,,
32.3,,100,,60,16.1
32.8,,125,7.4,,17.1
,4.5,100,,,34.2
,4,100,2.3,92.4,66
,6.5,,19,,26
,6.5,,4.8,26.1,13.6
,,,,,
,,,,,
,,,,,
,,,,,
,2,99,1.7,52,
,,,,,50
57,7,100,5,59,37
,,,,,
,,,,,
,,,,,
,,,,,
71.4,2.8,100,21.8,83.4,50
,4,,,,24
,4.9,,20,12.1,23.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,8.1,,
,,,,,
,,,,,
,,,,,75
,4,,10.7,,50
,,,,,
100,0.3,0,0,0,0
,,,,,34
,,,,,
,,,,,
23,5.4,88.2,21.5,66.7,3.7
47,5,,5,29.3,0
2,,,,,
65,,,16,,
30.5,7.4,100,,58.3,2.7
22.7,,100,,,
,,,,,9
,,,,,
,,,,,
,6.6,,28.5,20.2,9.2
32.3,8.8,100,22.6,43.1,9.9
,33,,19.5,13.2,0
0,0,0,,,
60,1,,10,,
,,,,,
,,,,,
,,,,,20
,,,17.8,,11.1
76,,,3.8,,57
,,,,,
100,,,0,100,
,,,,,
54,5.7,,,,
,,,,66.1,61.6
0,,,25,,1
,5.3,,,,52.9
,,,,,50
,,,,,
,,100,,,
,,,,,
6.7,2.8,100,14.5,,0
10.4,10.1,100,11.3,40.7,6.3
10.9,13.3,0,,,3.4
,,,,,
,,,,,
,,,9,,
,,,,,
,,,,43.1,
,,,,,
,,,,,0
,,,,,
,,,10,,5.2
0,,,,,100
,12,,11,,1.2
,,,,,
15.4,16,100,0,82,3.3
62,,100,10,,14
,,,,,
,,,,76.7,3.9
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,10.3
,,,,,
,,,,,15
11.9,13,,,,
45,,,,,
,,,,,0
,,,,,
,,,,,
43.8,,,,,22.8
,,,,,
,,100,,,6
,3.8,,,,10
,,,,,50
,,,,,
89.9,7.8,100,19.7,70.8,3.7
,,,,,
41,,100,10,,22.2
18,13.1,100,,,1
,17.3,,,,
,11.3,,,,12.1
,,,,,
,,,,,25
,,,25,,5
,,,14.4,,
,,,8.4,,4.4
,,,,,8.1
38.1,5,,,23.8,7
,,,11,,0
10,,,,,50
53.3,,,,,
,,,,,
,5.1,100,,,47.1
9,10.8,,10.1,,16.7
,9.6,,4.5,,14
32.2,20,95.4,11.7,72.8,2
32,12.2,100,10.5,66,5.4
,,,21.3,,
,,,,,36.4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
71,7.2,,,,58.3
,,,,,
,,,,,
,,,2.8,,
,,,,,
,,,,,1.6
,,,,,
,,,,,
50,,,,,
,,,,,
,12,,,,16
,,,,,
,,,,,10
,,,,,
57.8,9.6,,9.3,,15.2
81.5,,,,,50
,,,,,
23,,,,,
20.3,13,100,15,59.9,4.2
,,,,,
,,,,,
,,,,,
2.2,,,23.2,,
16,12,,10,,0
,4.5,,,19.4,0
7,11.7,100,13.5,57.7,0
,14.4,,18,58.6,10
,,,,,20
,,,,,
